srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_2.keys,key_resp_2.corr,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_2.rt,key_resp_2.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,key_resp_5.stopped,text_13.stopped,key_resp_9.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,block1.key_resp_2.keys,block1.key_resp_2.corr,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block1.key_resp_2.rt,block1.key_resp_2.duration,text_3.stopped,key_resp_3.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block3.key_resp_2.rt,block3.key_resp_2.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,text_8.stopped,key_resp_7.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block7.key_resp_2.rt,block7.key_resp_2.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007429499994032085,0.023976999917067587,0.023976999917067587,594.1507954999106,space,594.1174138000933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.1571876999224,594.1574802999385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.157507799915,594.1644593999954,594.1644593999954,595.9816159999464,space,1.8082551999250427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
1,DST_103_M_HPY.png,0,1,G  B  C  H  M,A,down,V,O,O,H,X,O,5,x,0,0,0,x,1,0.44685139995999634,None,down,1,1.9551579999970272,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.1980623999843,,,,,,,,,,,,,,,,,,596.1894542999798,596.1980623999843,597.4810787999304,597.4810787999304,599.481048699934,599.481048699934,601.981011099997,601.981011099997,602.4810113999993,602.4810113999993,602.4810113999993,602.4810113999993,602.4810113999993,602.4810113999993,602.4810113999993,602.4810113999993,602.4810113999993,6.4827245000051335,6.499645399977453,602.6809990999755,602.6809990999755,602.6809990999755,602.6809990999755,602.6809990999755,602.6809990999755,602.6809990999755,602.9316272999858,x,1,0.44685139995999634,None,602.938097700011,602.9476711999159,603.4309881000081,603.4309881000081,603.4476517000003,605.3981634000083,down,1,1.9551579999970272,None,605.4005484000081,605.4142907999922,605.9642756999237,605.8979417999508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
1,DST_098_M_HPY.png,0,1,L  Q  P  A  F,K,down,N,K,O,O,O,V,5,n,1,1,0,n,1,0.6389739000005648,None,down,1,1.2517748000100255,None,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.9642756999237,,,,,,,,,,,,,,,,,,605.9537484999746,605.9642756999237,607.3975712999236,607.3975712999236,609.3975365000078,609.3975365000078,611.8975163999712,611.8975163999712,612.3975166999735,612.3975166999735,612.3975166999735,612.3975166999735,612.3975166999735,612.3975166999735,612.3975166999735,612.3975166999735,612.3975166999735,6.482663500006311,6.499561900040135,612.5975318999263,612.5975318999263,612.5975318999263,612.5975318999263,612.5975318999263,612.5975318999263,612.5975318999263,613.0480480999686,n,1,0.6389739000005648,None,613.049996900023,613.0641744999448,613.5474979999708,613.5474979999708,613.5641592999455,614.8146594999125,down,1,1.2517748000100255,None,614.8149405999575,614.8308068999322,615.3808002999285,615.3144075999735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
1,DST_015_M_HPY.png,0,1,Z  H  D  P  L,H,up,O,X,O,Z,W,O,5,x,2,2,0,n,0,0.3341592999640852,None,up,1,1.6112796999514103,None,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.3808002999285,,,,,,,,,,,,,,,,,,615.3661943000043,615.3808002999285,616.8141069000121,616.8141069000121,618.8140790999169,618.8140790999169,621.314028599998,621.314028599998,621.8140338999219,621.8140338999219,621.8140338999219,621.8140338999219,621.8140338999219,621.8140338999219,621.8140338999219,621.8140338999219,621.8140338999219,6.482690299977548,6.499589100014418,622.0140260999324,622.0140260999324,622.0140260999324,622.0140260999324,622.0140260999324,622.0140260999324,622.0140260999324,622.1645888999337,n,0,0.3341592999640852,None,622.1696446000133,622.180687099928,622.6639971999684,622.6639971999684,622.680684999912,624.2811941999244,up,1,1.6112796999514103,None,624.2814768999815,624.2973257999402,624.847300299909,624.780979199917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
1,DST_149_F_NUT.png,0,0,I  P  S  K  D,S,up,W,N,V,O,O,O,6,n,3,3,0,n,1,1.3002608000533655,None,down,0,1.1554584000259638,None,,,,,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.847300299909,,,,,,,,,,,,,,,,,,624.8336861999705,624.847300299909,626.2809055999387,626.2809055999387,628.2815765999258,628.2815765999258,630.7810112999287,630.7810112999287,631.2842872999609,631.2842872999609,631.2842872999609,631.2842872999609,631.2842872999609,631.2842872999609,631.2842872999609,631.2842872999609,631.2842872999609,6.486615299945697,6.503454499994405,631.4836202999577,631.4836202999577,631.4836202999577,631.4836202999577,631.4836202999577,631.4836202999577,631.4836202999577,632.5994947999716,n,1,1.3002608000533655,None,632.6107942999806,632.6158003999153,633.1143104999792,633.1143104999792,633.1309348000214,634.281389700016,down,0,1.1554584000259638,None,634.2838581999531,634.2972336999374,634.8614968999755,634.7824291000143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
1,DST_009_F_NUT.png,0,0,R  B  K  F  G,G,up,O,H,O,X,W,O,6,x,4,4,0,n,0,0.6914552999660373,None,down,0,1.9871258999919519,None,,,,,,,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.8614968999755,,,,,,,,,,,,,,,,,,634.8602486000163,634.8614968999755,636.2808612999506,636.2808612999506,638.2808434999315,638.2808434999315,640.781054000021,640.781054000021,641.2806300999364,641.2806300999364,641.2806300999364,641.2806300999364,641.2806300999364,641.2806300999364,641.2806300999364,641.2806300999364,641.2806300999364,6.483080600039102,6.499812899972312,641.4806923000142,641.4806923000142,641.4806923000142,641.4806923000142,641.4806923000142,641.4806923000142,641.4806923000142,641.9822113999398,n,0,0.6914552999660373,None,641.9877005999442,641.9970059000188,642.4977346999804,642.4977346999804,642.4977346999804,644.4993824999547,down,0,1.9871258999919519,None,644.5002639999148,644.5138560999185,645.052934999927,644.9980733999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
1,DST_128_F_NUT.png,0,0,H  Y  M  K  D,B,down,O,W,N,O,Z,O,6,n,5,5,0,None,0,,,down,1,1.636412400053814,None,,,,,,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.052934999927,,,,,,,,,,,,,,,,,,645.0509913999122,645.052934999927,646.5136427999241,646.5136427999241,648.5143296999158,648.5143296999158,651.0137949999189,651.0137949999189,651.5137840999523,651.5137840999523,651.5137840999523,651.5137840999523,651.5137840999523,651.5137840999523,651.5137840999523,651.5137840999523,651.5137840999523,6.4976684000575915,6.514905399992131,651.7137763999635,651.7137763999635,651.7137763999635,651.7137763999635,651.7137763999635,651.7137763999635,651.7137763999635,653.6986114999745,None,0,,,653.7039226000197,653.71354529995,654.2142491999548,654.2142491999548,654.2142491999548,655.8650450999849,down,1,1.636412400053814,None,655.8667388999602,655.8801490999758,656.4438596999971,656.3652799999109,653.71354529995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
1,DST_010_M_HPY.png,0,1,Z  C  T  P  K,Z,up,O,X,W,O,O,Z,5,x,6,6,0,n,0,1.2029596000211313,None,up,1,2.553518500062637,None,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.4438596999971,,,,,,,,,,,,,,,,,,656.4423616999993,656.4438596999971,657.8805399999255,657.8805399999255,659.8806795999408,659.8806795999408,662.3804611000232,662.3804611000232,662.8800559999654,662.8800559999654,662.8800559999654,662.8800559999654,662.8800559999654,662.8800559999654,662.8800559999654,662.8800559999654,662.8800559999654,6.498824900016189,6.515276300022379,663.080278599984,663.080278599984,663.080278599984,663.080278599984,663.080278599984,663.080278599984,663.080278599984,664.0996219000081,n,0,1.2029596000211313,None,664.1049169999314,664.1139930000063,664.6139698999468,664.6139698999468,664.6139698999468,667.1817575999303,up,1,2.553518500062637,None,667.1824376999866,667.1969268999528,667.7328492999077,667.6812818999169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP20,001,2026-01-15_15h44.46.282,WM-Letters,2024.2.4,61.01943960743507,2026-01-15 15h45.07.129330 +0530,
