srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011205700000118700,0.027663200000006300,0.027663200000006300,29.013199500000200,space,28.977642099999700,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.01948900000030,29.019738600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.01976810000040,29.02717560000020,29.02717560000020,31.59435910000000,space,2.565285600000150,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.59859940000020,31.610460400000200,31.610460400000200,33.760958800000000,space,2.1411175000002900,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
1,DST_071_M_HPY.png,1,1,C,K,down,O,V,O,Z,O,X,3,x,0,0,0,x,1,0.8313740000003240,None,down,1,0.7521080000001350,None,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,33.8937662000003,,,,,,,,,,,,,,,,,,,,,,,,,33.886727300000100,33.8937662000003,35.26040500000000,35.26040500000000,35.76039300000000,35.76039300000000,36.51038140000040,36.51038140000040,37.01037300000010,37.01037300000010,37.01037300000010,37.01037300000010,37.01037300000010,37.01037300000010,37.01037300000010,37.01037300000010,37.01037300000010,3.2327500000001200,3.2496604000002700,37.210368200000200,37.210368200000200,37.210368200000200,37.210368200000200,37.210368200000200,37.210368200000200,37.210368200000200,37.844292600000200,x,1,0.8313740000003240,None,37.84674800000040,37.8603621000002,37.8603621000002,38.62756370000030,down,1,0.7521080000001350,None,38.63158610000030,38.6436805000003,39.19367520000010,39.12727510000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
1,DST_031_M_HPY.png,1,1,F,F,up,X,V,O,O,Z,O,3,x,1,1,0,x,1,0.971652400000039,None,up,1,0.7002771000002210,None,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,39.19367520000010,,,,,,,,,,,,,,,,,,,,,,,,,39.184203100000100,39.19367520000010,40.62697870000010,40.62697870000010,41.12697200000000,41.12697200000000,41.876949200000100,41.876949200000100,42.3769628,42.3769628,42.3769628,42.3769628,42.3769628,42.3769628,42.3769628,42.3769628,42.3769628,3.2327031999998300,3.2496210999997900,42.5769521000002,42.5769521000002,42.5769521000002,42.5769521000002,42.5769521000002,42.5769521000002,42.5769521000002,43.36079140000040,x,1,0.971652400000039,None,43.361969600000100,43.37694210000020,43.37694210000020,44.09403260000000,up,1,0.7002771000002210,None,44.094322000000400,44.11024150000000,44.660242800000100,44.59384170000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
1,DST_097_M_NUT.png,0,1,A,A,up,N,W,O,O,K,O,1,n,2,2,0,n,1,0.8340961999997490,None,up,1,0.5508676999997990,None,,,,,,,,,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,44.660242800000100,,,,,,,,,,,,,,,,,,,,,,,,,44.64574300000000,44.660242800000100,46.09354570000010,46.09354570000010,46.59350870000030,46.59350870000030,47.34349460000020,47.34349460000020,47.84352210000040,47.84352210000040,47.84352210000040,47.84352210000040,47.84352210000040,47.84352210000040,47.84352210000040,47.84352210000040,47.84352210000040,3.2328050999999500,3.249704500000010,48.04352330000030,48.04352330000030,48.04352330000030,48.04352330000030,48.04352330000030,48.04352330000030,48.04352330000030,48.694027200000200,n,1,0.8340961999997490,None,48.695168000000200,48.710171900000200,48.710171900000200,49.277396600000000,up,1,0.5508676999997990,None,49.27768470000000,49.29349630000020,49.8434986000002,49.77711450000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
1,DST_015_M_HPY.png,1,1,E,E,up,K,O,O,O,N,H,3,n,3,3,0,n,1,1.3275313999997700,None,up,1,0.5351401999996600,None,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,49.8434986000002,,,,,,,,,,,,,,,,,,,,,,,,,49.826611500000100,49.8434986000002,51.27679410000020,51.27679410000020,51.77678920000020,51.77678920000020,52.5267786000004,52.5267786000004,53.02677490000040,53.02677490000040,53.02677490000040,53.02677490000040,53.02677490000040,53.02677490000040,53.02677490000040,53.02677490000040,53.02677490000040,3.23268489999964,3.2496229999997000,53.22672730000020,53.22672730000020,53.22672730000020,53.22672730000020,53.22672730000020,53.22672730000020,53.22672730000020,54.36066200000010,n,1,1.3275313999997700,None,54.36182110000030,54.3767442000003,54.3767442000003,54.92727390000030,up,1,0.5351401999996600,None,54.92756240000020,54.94340140000030,55.49339970000030,55.427013400000300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
1,DST_142_F_NUT.png,0,0,P,T,down,W,O,O,V,O,X,2,x,4,4,0,x,1,0.8696288999999520,None,down,1,0.5741415000002240,None,,,,,,,,,,,,,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,55.49339970000030,,,,,,,,,,,,,,,,,,,,,,,,,55.47921270000010,55.49339970000030,56.926697500000000,56.926697500000000,57.42667580000030,57.42667580000030,58.1766690000004,58.1766690000004,58.676656900000100,58.676656900000100,58.676656900000100,58.676656900000100,58.676656900000100,58.676656900000100,58.676656900000100,58.676656900000100,58.676656900000100,3.2327040000000100,3.249583900000290,58.87665310000010,58.87665310000010,58.87665310000010,58.87665310000010,58.87665310000010,58.87665310000010,58.87665310000010,59.560496200000200,x,1,0.8696288999999520,None,59.56248940000020,59.57663770000000,59.57663770000000,60.16060580000020,down,1,0.5741415000002240,None,60.160892800000100,60.17663810000020,60.72664050000000,60.66022210000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
1,DST_026_M_NUT.png,0,1,K,O,down,O,H,O,X,K,O,1,x,5,5,0,x,1,0.8695897000002330,None,down,1,0.514174599999933,None,,,,,,,,,,,,,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,60.72664050000000,,,,,,,,,,,,,,,,,,,,,,,,,60.70890280000000,60.72664050000000,62.15994330000010,62.15994330000010,62.659923900000200,62.659923900000200,63.40992520000010,63.40992520000010,63.90992140000030,63.90992140000030,63.90992140000030,63.90992140000030,63.90992140000030,63.90992140000030,63.90992140000030,63.90992140000030,63.90992140000030,3.232627300000330,3.249540500000420,64.10990990000030,64.10990990000030,64.10990990000030,64.10990990000030,64.10990990000030,64.10990990000030,64.10990990000030,64.7937764000003,x,1,0.8695897000002330,None,64.7955750000001,64.8099072,64.8099072,65.32712070000030,down,1,0.514174599999933,None,65.32740970000030,65.34322360000030,65.89322630000020,65.82685370000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP101,1,2026-01-06_11h23.48.368,WM-Letters,2024.2.4,60.624064115936300,2026-01-06 11h24.00.278019 +0530,,,,
